2023-04-25 14:34:14.732 -05:00 [INF] Now listening on: http://localhost:7175
2023-04-25 14:34:14.810 -05:00 [INF] Now listening on: http://localhost:5046
2023-04-25 14:34:14.818 -05:00 [INF] Application started. Press Ctrl+C to shut down.
2023-04-25 14:34:14.821 -05:00 [INF] Hosting environment: Development
2023-04-25 14:34:14.822 -05:00 [INF] Content root path: C:\Desarrollo\REP_ERP\Integrador.ERP.Api\
2023-04-25 14:36:04.933 -05:00 [WRN] Failed to determine the https port for redirect.
2023-04-25 14:36:21.388 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/860501007 responded 200 in 16445.0753 ms
2023-04-25 14:39:31.346 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/860501007 responded 200 in 1609.0762 ms
2023-04-25 14:46:20.586 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/860501007 responded 200 in 1628.8737 ms
2023-04-25 15:02:40.645 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 6758.5501 ms
2023-04-25 15:42:05.639 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 2304708.3449 ms
2023-04-25 15:43:36.137 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 66894.2523 ms
2023-04-25 15:52:26.077 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 411315.5219 ms
2023-04-25 16:00:04.434 -05:00 [INF] HTTP POST /api/JournalEntry/Disbursement/795 responded 200 in 439332.6316 ms
2023-04-25 16:00:05.725 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/860501007 responded 200 in 1304.1869 ms
