2023-04-27 10:08:39.706 -05:00 [INF] Now listening on: http://localhost:7175
2023-04-27 10:08:39.781 -05:00 [INF] Now listening on: http://localhost:5046
2023-04-27 10:08:39.785 -05:00 [INF] Application started. Press Ctrl+C to shut down.
2023-04-27 10:08:39.787 -05:00 [INF] Hosting environment: Development
2023-04-27 10:08:39.789 -05:00 [INF] Content root path: C:\Desarrollo\REP_ERP\Integrador.ERP.Api\
2023-04-27 10:54:32.146 -05:00 [WRN] Failed to determine the https port for redirect.
2023-04-27 10:54:47.610 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 15455.9052 ms
2023-04-27 10:54:52.311 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 539.8146 ms
2023-04-27 10:55:00.281 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 864.0614 ms
2023-04-27 10:55:02.511 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 468.0137 ms
2023-04-27 10:55:12.262 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 819.3241 ms
2023-04-27 10:55:12.759 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 488.1371 ms
2023-04-27 10:55:13.274 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 504.5567 ms
2023-04-27 10:55:13.758 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 475.1918 ms
2023-04-27 10:55:14.282 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 514.9009 ms
2023-04-27 10:55:14.808 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 512.7571 ms
2023-04-27 10:55:15.385 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 566.6874 ms
2023-04-27 10:55:15.928 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 535.2943 ms
2023-04-27 10:55:16.467 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 530.2756 ms
2023-04-27 10:55:17.001 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 526.3723 ms
2023-04-27 10:55:17.591 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 581.4507 ms
2023-04-27 10:55:18.143 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 542.7996 ms
2023-04-27 10:55:18.729 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 577.2989 ms
2023-04-27 10:55:19.513 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 774.7746 ms
2023-04-27 10:55:20.096 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 575.1047 ms
2023-04-27 10:55:20.646 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 540.8892 ms
2023-04-27 10:55:21.136 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 477.5797 ms
2023-04-27 10:55:21.634 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 489.8548 ms
2023-04-27 10:55:25.218 -05:00 [INF] HTTP GET /api/Client/GetClient/794/8/900823469 responded 200 in 3574.9596 ms
